,name,emotion,frame
0,,,1
1,,,1
2,,,1
0,,,2
1,,,2
0,,,3
1,,,3
2,,,3
0,,,4
1,,,4
2,,,4
0,,,5
1,,,5
2,,,5
0,,,6
1,,,6
2,,,6
0,,,7
1,,,7
2,,,7
0,,,8
1,,,8
2,Joy,anger,8
0,,,9
1,,,9
2,,,9
0,,,10
1,,,10
2,,,10
0,,,11
1,,,11
2,,,11
0,,,12
1,,,12
0,,,13
1,,,13
2,,,13
0,,,14
1,Farhan,anger,14
2,,,14
0,,,15
1,Farhan,neutral,15
2,,,15
0,,,16
1,,,16
2,Farhan,anger,16
3,,,16
0,,,17
1,Farhan,sad,17
2,,,17
0,,,18
1,,,18
2,,,18
0,,,19
1,,,19
0,,,20
1,,,20
0,,,21
0,,,22
0,,,23
0,,,24
1,,,24
0,,,25
1,,,25
0,,,26
1,,,26
0,,,27
1,,,27
0,,,28
1,,,28
0,,,29
1,,,29
0,,,30
1,,,30
0,,,31
1,,,31
2,,,31
0,,,32
1,Farhan,neutral,32
0,Rancho,happy,33
1,Raju,neutral,33
0,,,34
0,,,35
0,,,36
0,,,37
0,,,39
1,,,39
0,,,40
1,,,40
2,,,40
3,,,40
4,,,40
0,,,41
1,,,41
2,,,41
3,,,41
0,,,43
1,,,43
2,,,43
3,,,43
0,,,44
1,,,44
0,,,45
1,,,45
2,,,45
3,,,45
0,,,46
1,,,46
0,,,47
0,,,48
0,,,49
1,,,49
0,,,50
0,Rancho,sad,51
1,,,51
0,Rancho,anger,52
1,,,52
